,Time,Logtype,Gamemode,Points,Heartrate,physDifficulty,psyStress,psyDifficulty,obstacle,logID,timedelta
0,0.01,CONTINUOUS,MOVEMENTTUTORIAL,0.0,115.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:00.010000000
1,1.02,CONTINUOUS,MOVEMENTTUTORIAL,0.0,118.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:01.020000000
2,2.02,CONTINUOUS,MOVEMENTTUTORIAL,0.0,121.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:02.020000000
3,3.03,CONTINUOUS,MOVEMENTTUTORIAL,0.0,119.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:03.030000000
4,4.04,CONTINUOUS,MOVEMENTTUTORIAL,0.0,121.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:04.040000000
5,5.04,CONTINUOUS,MOVEMENTTUTORIAL,0.0,125.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:05.040000000
6,6.04,CONTINUOUS,PLAYING,0.0,127.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:06.040000000
7,7.05,CONTINUOUS,PLAYING,0.0,130.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:07.050000000
8,8.05,CONTINUOUS,PLAYING,0.0,132.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:08.050000000
9,9.07,CONTINUOUS,PLAYING,0.0,135.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:09.070000000
10,10.09,CONTINUOUS,PLAYING,0.0,137.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:10.090000000
11,11.09,CONTINUOUS,PLAYING,0.0,140.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:11.090000000
12,12.09,CONTINUOUS,PLAYING,0.0,142.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:12.090000000
13,13.09,CONTINUOUS,PLAYING,0.0,141.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:13.090000000
14,13.67,EVENT_OBSTACLE,PLAYING,0.0,142.0,MEDIUM,undef,MEDIUM,"TOPLEFT, BOTTOMLEFT, MIDDLE",0,0 days 00:00:13.670000000
15,14.09,CONTINUOUS,PLAYING,0.0,142.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:14.090000000
16,15.09,CONTINUOUS,PLAYING,0.0,142.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:15.090000000
17,16.11,CONTINUOUS,PLAYING,0.0,141.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:16.110000000
18,16.11,EVENT_PICKUP,PLAYING,0.0,141.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:16.110000000
19,16.29,EVENT_OBSTACLE,PLAYING,0.0,141.0,MEDIUM,undef,MEDIUM,"TOPRIGHT, BOTTOMLEFT, MIDDLE",0,0 days 00:00:16.290000000
20,17.11,CONTINUOUS,PLAYING,100.0,143.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:17.110000000
21,18.11,CONTINUOUS,PLAYING,100.0,142.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:18.110000000
22,18.91,EVENT_OBSTACLE,PLAYING,100.0,143.0,MEDIUM,undef,MEDIUM,"TOPRIGHT, BOTTOMRIGHT, MIDDLE",0,0 days 00:00:18.910000000
23,19.13,CONTINUOUS,PLAYING,100.0,143.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:19.130000000
24,20.13,CONTINUOUS,PLAYING,100.0,143.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:20.130000000
25,21.13,CONTINUOUS,PLAYING,100.0,144.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:21.130000000
26,21.35,EVENT_PICKUP,PLAYING,100.0,144.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:21.350000000
27,21.53,EVENT_OBSTACLE,PLAYING,100.0,144.0,MEDIUM,undef,MEDIUM,"TOPLEFT, BOTTOMLEFT, MIDDLE",0,0 days 00:00:21.530000000
28,22.13,CONTINUOUS,PLAYING,100.0,144.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:22.130000000
29,23.13,CONTINUOUS,PLAYING,200.0,144.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:23.130000000
30,23.95,EVENT_PICKUP,PLAYING,200.0,145.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:23.950000000
31,24.13,CONTINUOUS,PLAYING,200.0,145.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:24.130000000
