,Time,Logtype,Gamemode,Points,Heartrate,physDifficulty,psyStress,psyDifficulty,obstacle,logID,timedelta
0,0.01,CONTINUOUS,MOVEMENTTUTORIAL,0.0,1.1326530612244898,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:00.010000000
1,1.01,CONTINUOUS,MOVEMENTTUTORIAL,0.0,1.1326530612244898,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:01.010000000
2,2.02,CONTINUOUS,MOVEMENTTUTORIAL,0.0,1.2346938775510203,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:02.020000000
3,3.03,CONTINUOUS,MOVEMENTTUTORIAL,0.0,1.2142857142857142,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:03.030000000
4,4.03,CONTINUOUS,MOVEMENTTUTORIAL,0.0,1.1938775510204083,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:04.030000000
5,5.05,CONTINUOUS,MOVEMENTTUTORIAL,0.0,1.2142857142857142,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:05.050000000
6,6.05,CONTINUOUS,PLAYING,0.0,1.2142857142857142,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:06.050000000
7,7.06,CONTINUOUS,PLAYING,0.0,1.2653061224489797,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:07.060000000
8,8.07,CONTINUOUS,PLAYING,0.0,1.2653061224489797,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:08.070000000
9,9.09,CONTINUOUS,PLAYING,0.0,1.2959183673469388,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:09.090000000
10,10.09,CONTINUOUS,PLAYING,0.0,1.3265306122448979,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:10.090000000
11,11.09,CONTINUOUS,PLAYING,0.0,1.3265306122448979,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:11.090000000
12,12.09,CONTINUOUS,PLAYING,0.0,1.2551020408163265,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:12.090000000
13,13.11,CONTINUOUS,PLAYING,0.0,1.2551020408163265,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:13.110000000
14,14.11,CONTINUOUS,PLAYING,0.0,1.1938775510204083,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:14.110000000
15,14.19,EVENT_OBSTACLE,PLAYING,0.0,1.1938775510204083,MEDIUM,undef,MEDIUM,"BOTTOMLEFT, BOTTOMRIGHT, MIDDLE",0,0 days 00:00:14.190000000
16,15.12,CONTINUOUS,PLAYING,0.0,1.1122448979591837,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:15.120000000
17,16.12,CONTINUOUS,PLAYING,0.0,1.0714285714285714,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:16.120000000
18,16.83,EVENT_OBSTACLE,PLAYING,0.0,1.0,MEDIUM,undef,MEDIUM,"TOPRIGHT, BOTTOMRIGHT, MIDDLE",0,0 days 00:00:16.830000000
19,17.13,CONTINUOUS,PLAYING,0.0,1.0,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:17.130000000
