,Time,Logtype,Gamemode,Points,Heartrate,physDifficulty,psyStress,psyDifficulty,obstacle,userID,timedelta,mean_hr,%crashes
0,0.01,CONTINUOUS,MOVEMENTTUTORIAL,0,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:00.010000000,,0.0
1,1.02,CONTINUOUS,MOVEMENTTUTORIAL,0,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:01.020000000,,0.0
2,2.03,CONTINUOUS,MOVEMENTTUTORIAL,0,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:02.030000000,,0.0
3,3.04,CONTINUOUS,MOVEMENTTUTORIAL,0,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:03.040000000,,0.0
4,4.07,CONTINUOUS,MOVEMENTTUTORIAL,0,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:04.070000000,,0.0
5,5.09,CONTINUOUS,MOVEMENTTUTORIAL,0,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:05.090000000,,0.0
6,6.09,CONTINUOUS,MOVEMENTTUTORIAL,0,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:06.090000000,,0.0
7,7.09,CONTINUOUS,MOVEMENTTUTORIAL,0,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:07.090000000,,0.0
8,8.11,CONTINUOUS,MOVEMENTTUTORIAL,0,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:08.110000000,,0.0
9,9.11,CONTINUOUS,MOVEMENTTUTORIAL,0,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:09.110000000,,0.0
10,10.11,CONTINUOUS,MOVEMENTTUTORIAL,0,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:10.110000000,,0.0
11,11.11,CONTINUOUS,MOVEMENTTUTORIAL,0,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:11.110000000,,25.0
12,12.11,CONTINUOUS,PLAYING,0,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:12.110000000,,16.666666666666664
13,13.13,CONTINUOUS,PLAYING,0,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:13.130000000,,13.333333333333334
14,14.13,CONTINUOUS,PLAYING,0,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:14.130000000,,10.344827586206897
15,15.13,CONTINUOUS,PLAYING,0,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:15.130000000,,14.705882352941178
16,16.13,CONTINUOUS,PLAYING,0,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:16.130000000,,15.686274509803921
17,17.13,CONTINUOUS,PLAYING,0,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:17.130000000,,15.0
18,18.13,CONTINUOUS,PLAYING,0,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:18.130000000,,14.864864864864865
19,19.15,CONTINUOUS,PLAYING,0,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:19.150000000,,14.634146341463413
20,20.15,CONTINUOUS,PLAYING,0,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:20.150000000,,14.285714285714285
21,20.32,EVENT_PICKUP,PLAYING,0,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:20.320000000,,14.14141414141414
22,20.52,EVENT_OBSTACLE,PLAYING,0,-1,MEDIUM,undef,MEDIUM,"TOPRIGHT, BOTTOMRIGHT, MIDDLE",0,0 days 00:00:20.520000000,,14.85148514851485
23,21.15,CONTINUOUS,PLAYING,0,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:21.150000000,,15.887850467289718
24,22.16,CONTINUOUS,PLAYING,100,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:22.160000000,,16.39344262295082
25,22.94,EVENT_OBSTACLE,PLAYING,100,-1,MEDIUM,undef,MEDIUM,"TOPRIGHT, BOTTOMLEFT, MIDDLE",0,0 days 00:00:22.940000000,,15.267175572519085
26,23.17,CONTINUOUS,PLAYING,100,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:23.170000000,,15.789473684210526
27,24.2,CONTINUOUS,PLAYING,100,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:24.200000000,,14.285714285714285
28,25.2,CONTINUOUS,PLAYING,100,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:25.200000000,,14.285714285714285
29,25.35,EVENT_OBSTACLE,PLAYING,100,-1,MEDIUM,undef,MEDIUM,"TOPRIGHT, BOTTOMLEFT, MIDDLE",0,0 days 00:00:25.350000000,,14.19753086419753
30,26.22,CONTINUOUS,PLAYING,100,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:26.220000000,,14.534883720930234
31,27.22,CONTINUOUS,PLAYING,100,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:27.220000000,,14.054054054054054
32,27.79,EVENT_OBSTACLE,PLAYING,100,-1,MEDIUM,undef,MEDIUM,"TOPRIGHT, BOTTOMLEFT, MIDDLE",0,0 days 00:00:27.790000000,,13.917525773195877
33,28.22,CONTINUOUS,PLAYING,100,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:28.220000000,,14.646464646464647
34,29.23,CONTINUOUS,PLAYING,100,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:29.230000000,,14.761904761904763
35,30.02,EVENT_PICKUP,PLAYING,100,-1,MEDIUM,undef,MEDIUM,none,0,0 days 00:00:30.020000000,,14.414414414414415
36,30.21,EVENT_OBSTACLE,PLAYING,100,-1,MEDIUM,undef,MEDIUM,"TOPRIGHT, BOTTOMLEFT, MIDDLE",0,0 days 00:00:30.210000000,,14.285714285714285
